"ID_EventBird","EventID","Yr","Mark","Ringno","Notes","DateCreate"
696,5,2014,"QPF","11727","",""
697,5,2014,"QPF","11728","",""
698,5,2014,"QPF","11729","",""
699,5,2014,"QPF","11730","",""
700,5,2014,"QPF","3301","",""
701,5,2014,"QPF","3302","",""
702,5,2014,"QPF","3303","",""
703,5,2014,"QPF","3304","",""
704,5,2014,"QPF","3305","",""
705,5,2014,"QPF","3307","",""
706,5,2014,"QPF","3308","",""
707,5,2014,"QPF","3309","",""
708,5,2014,"QPF","3310","",""
709,5,2014,"QPF","3311","",""
710,5,2014,"QPF","3312","",""
711,5,2014,"QPF","3313","",""
712,5,2014,"QPF","3314","",""
713,5,2014,"QPF","3315","",""
714,5,2014,"QPF","3316","",""
715,5,2014,"QPF","3317","",""
716,5,2014,"QPF","3318","",""
717,5,2014,"QPF","3319","",""
718,5,2014,"QPF","3320","",""
719,5,2014,"QPF","3321","",""
720,5,2014,"QPF","3322","",""
721,5,2014,"QPF","3323","",""
722,5,2014,"QPF","3324","",""
723,5,2014,"QPF","3325","",""
724,5,2014,"QPF","3326","",""
725,5,2014,"QPF","3327","",""
726,5,2014,"QPF","3328","",""
727,5,2014,"QPF","3329","",""
728,5,2014,"QPF","3330","",""
729,5,2014,"QPF","3331","",""
730,5,2014,"QPF","3332","",""
731,5,2014,"QPF","3336","",""
732,5,2014,"QPF","3338","",""
733,5,2014,"QPF","3339","",""
734,5,2014,"QPF","3341","",""
735,5,2014,"QPF","3342","",""
736,5,2014,"QPF","3344","",""
737,5,2014,"QPF","3345","",""
738,5,2014,"QPF","3348","",""
739,5,2014,"QPF","3350","",""
740,5,2014,"QPF","3352","",""
741,5,2014,"QPF","3353","",""
742,5,2014,"QPF","3354","",""
743,5,2014,"QPF","3355","",""
744,5,2014,"QPF","3357","",""
745,5,2014,"QPF","3358","",""
746,5,2014,"QPF","3359","",""
747,5,2014,"QPF","3369","",""
748,5,2014,"QPF","3370","",""
749,5,2014,"QPF","3371","",""
750,5,2014,"QPF","3372","",""
751,5,2014,"QPF","3374","",""
752,5,2014,"QPF","3375","",""
753,5,2014,"QPF","3379","",""
754,5,2014,"QPF","3381","",""
755,5,2014,"QPF","3392","",""
756,5,2014,"QPF","3393","",""
757,5,2014,"QPF","3395","",""
758,5,2014,"QPF","3398","",""
759,5,2014,"SAMDPR","214","",""
760,5,2014,"SAMDPR","301","",""
761,5,2014,"SAMDPR","303","",""
762,5,2014,"SAMDPR","304","",""
763,5,2014,"SAMDPR","305","",""
764,5,2014,"SAMDPR","306","",""
765,5,2014,"SAMDPR","307","",""
766,5,2014,"SAMDPR","308","",""
767,5,2014,"SAMDPR","309","",""
768,5,2014,"SAMDPR","310","",""
769,5,2014,"SAMDPR","311","",""
770,5,2014,"SAMDPR","312","",""
771,5,2014,"SAMDPR","313","",""
772,5,2014,"SAMDPR","314","",""
773,5,2014,"SAMDPR","315","",""
774,5,2014,"SAMDPR","316","",""
775,5,2014,"SAMDPR","317","",""
776,5,2014,"SAMDPR","318","",""
777,5,2014,"SAMDPR","319","",""
778,5,2014,"SAMDPR","320","",""
779,5,2014,"SAMDPR","322","",""
780,5,2014,"TOOWOOMBA","208","",""
781,5,2014,"TRP","659","",""
782,5,2014,"TRP","660","",""
